Driver,LapNumber,Compound,TyreLife,Position,LapTimeSeconds,PitThisLap,PitStopDuration,Year,Race,GridPosition,DNF,FinalPosition,StintNumber,DegradationRate,PositionMomentum,RaceCompletion,CompoundEncoded,GapToLeaderPace,RelativeTyreAge,LapsSincePit
BOT,51.0,HARD,22.0,5.0,86.862,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,0.2150000000000034,-0.2,0.8793103448275862,2.0,0.44299999999999784,-3.0666666666666664,21.0
BOT,52.0,HARD,23.0,5.0,88.154,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,0.5200000000000008,-0.2,0.896551724137931,2.0,1.625,-3.0666666666666664,22.0
BOT,53.0,HARD,24.0,5.0,118.324,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,10.918000000000001,0.0,0.9137931034482759,2.0,19.75,3.666666666666668,23.0
BOT,54.0,HARD,25.0,5.0,115.892,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,20.59466666666667,0.0,0.9310344827586207,2.0,11.811999999999998,9.333333333333334,24.0
BOT,55.0,HARD,26.0,5.0,107.158,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,26.929333333333336,0.0,0.9482758620689655,2.0,3.8230000000000075,9.692307692307693,25.0
BOT,56.0,HARD,27.0,4.0,139.183,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,33.882333333333335,-0.2,0.9655172413793104,2.0,20.735,7.857142857142858,26.0
BOT,57.0,HARD,28.0,4.0,139.191,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,41.64866666666667,-0.2,0.9827586206896551,2.0,51.73100000000001,7.857142857142858,27.0
BOT,58.0,HARD,29.0,6.0,90.479,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,36.089000000000006,0.2,1.0,2.0,3.861000000000004,4.272727272727273,28.0
GAS,2.0,HARD,2.0,12.0,92.814,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,7.073999999999991,0.0,0.034482758620689655,2.0,4.022999999999996,-1.789473684210526,1.0
GAS,3.0,HARD,3.0,12.0,91.533,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,5.560999999999993,0.0,0.05172413793103448,2.0,2.945999999999998,-1.7894736842105265,2.0
GAS,4.0,HARD,4.0,12.0,91.439,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,2.930666666666658,0.0,0.06896551724137931,2.0,2.6499999999999915,-1.7894736842105265,3.0
GAS,5.0,HARD,5.0,12.0,91.367,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,2.4483333333333284,0.0,0.08620689655172414,2.0,2.737000000000009,-1.7894736842105265,4.0
GAS,6.0,HARD,6.0,12.0,90.786,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,2.1993333333333283,0.0,0.10344827586206896,2.0,2.192999999999998,-1.7894736842105265,5.0
GAS,7.0,HARD,7.0,12.0,90.757,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.9719999999999989,0.0,0.1206896551724138,2.0,2.207000000000008,-1.7894736842105257,6.0
GAS,8.0,HARD,8.0,12.0,91.135,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.8946666666666658,0.0,0.13793103448275862,2.0,2.5500000000000114,-1.7894736842105257,7.0
GAS,9.0,HARD,9.0,12.0,91.365,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,2.0876666666666637,0.0,0.15517241379310345,2.0,3.0090000000000003,-1.7894736842105257,8.0
GAS,10.0,HARD,10.0,12.0,90.88,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,2.1286666666666605,0.0,0.1724137931034483,2.0,2.6640000000000015,-1.7894736842105257,9.0
GAS,11.0,HARD,11.0,12.0,90.726,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.992333333333325,0.0,0.1896551724137931,2.0,2.5919999999999987,-1.2631578947368425,10.0
GAS,12.0,HARD,12.0,12.0,90.547,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.7196666666666591,0.0,0.20689655172413793,2.0,1.9809999999999945,-1.2631578947368425,11.0
GAS,13.0,HARD,13.0,12.0,90.408,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.5623333333333278,0.0,0.22413793103448276,2.0,2.1500000000000057,-1.2631578947368425,12.0
GAS,14.0,HARD,14.0,12.0,90.641,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.5339999999999965,0.0,0.2413793103448276,2.0,1.2490000000000094,-0.4210526315789469,13.0
GAS,15.0,HARD,15.0,12.0,90.686,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.5803333333333331,0.0,0.25862068965517243,2.0,2.1940000000000026,0.4210526315789469,14.0
GAS,16.0,HARD,16.0,10.0,90.629,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.654000000000001,-0.4,0.27586206896551724,2.0,2.7960000000000065,2.2631578947368425,15.0
GAS,17.0,HARD,17.0,10.0,90.744,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.6883333333333326,-0.4,0.29310344827586204,2.0,2.9639999999999986,2.2631578947368425,16.0
GAS,18.0,HARD,18.0,8.0,90.725,0,0.0,2021,Abu Dhabi,12.0,0,5.0,0,1.7013333333333283,-0.8,0.3103448275862069,2.0,2.8359999999999985,4.210526315789474,17.0
